id,name,location,city_id,latitude,longitude
33,Brainerd Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x82Y\xfc\x01\xea\xe9U\xc0&Pii\x13\xddD@',77,41.7271549,-87.6549077
34,Brands Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00[\xb9r\xd1\xecU\xc0\xb4\x99\x9e\x0b~\xf8D@',14,41.9413466,-87.7002837
35,Brighton Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00^\xbb\xb4\xe1\xb0\xecU\xc0\x9c3\xa2\xb47\xeaD@',78,41.829825,-87.698296
36,Broadway Armory Gymnastics Center,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xccr#v7\xeaU\xc0m\x92z\xaa\x9e\xfeD@',607,41.9892171,-87.6596351
37,Broadway Armory Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xccr#v7\xeaU\xc0m\x92z\xaa\x9e\xfeD@',79,41.9892171,-87.6596351
38,Broncho Billy Playlot Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00n=\xf9\xaaK\xeaU\xc0\xdc\rG\xfc/\xfbD@',81,41.9624019,-87.6608684
39,Brooks Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00m\xddr\x9a\xaa\xf3U\xc0\xe3r\x17\xbcC\x01E@',83,42.0098796,-87.8072878
40,Buffalo Playlot Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x93\xc8>\xc8\xb2\xecU\xc0\xbc<\x9d+J\xfbD@',88,41.963201,-87.698412
41,Burnham Park,"b""\x00\x00\x00\x00\x01\x01\x00\x00\x00\xa2\x9f\x04\x91\xa0\xe6U\xc0\xb9t'39\xeaD@""",89,41.8298706,-87.6035502
42,Burnside Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xb1\xc5\xc9XH\xe6U\xc0\x90\x9f\x8d\\7\xe1D@',90,41.759502,-87.5981657
43,Buttercup Playlot Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x12K\xca\xdd\xe7\xe9U\xc0\n.V\xd4`\xfcD@',91,41.971705,-87.654777
44,California Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xb9\x9f\xf8\xd6\xac\xecU\xc0?\xe7\xc9\x90\xbe\xf9D@',93,41.9511281,-87.6980493
45,Calumet Beach,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00t=v\xbc\xee\xe1U\xc0\xd8\x914\xc9\xd9\xdbD@',622,41.7175838,-87.5301963
46,Calumet Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00t=v\xbc\xee\xe1U\xc0\xd8\x914\xc9\xd9\xdbD@',94,41.7175838,-87.5301963
47,Carver Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00yD\xe0\xa3Y\xe6U\xc0\xf4V\xb8@\xdd\xd3D@',98,41.6551896,-87.5992212
48,Chase Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x8db\xb9\xa5\xd5\xeaU\xc0\x91\xb4\x1b}\xcc\xfbD@',106,41.967178,-87.66929
49,Chicago Women's Park and Gardens,"b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x90L\x87N\xcf\xe7U\xc0{""\x99\x1f\xc9\xedD@'",108,41.8577003,-87.622028
50,Chippewa Park,"b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x82\xe1\x01\n\x1a\xedU\xc0\xdcy,\xc7u\x00E@'",109,42.0035943,-87.7047143
51,Chopin Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xf7Q\xb2A\xcb\xf0U\xc0\xbe.\xc3\x7f\xba\xf8D@',110,41.9431915,-87.7624058
52,Churchill Field Playlot Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xedb\x9a\xe9^\xebU\xc0\xc8\xb8=\x9c\x1b\xf5D@',112,41.9149051,-87.677668
53,Clarendon Park Community Center,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xcf\xa6~9\x8e\xe9U\xc0`X\xfe|[\xfbD@',114,41.9637295,-87.6493057
54,Clark (John) Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00^zE\x01l\xefU\xc0\x13\xee:\xc08\xf0D@',115,41.8767319,-87.7409671
55,Clark (Richard) Boathouse,"b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xd23b\x0bf\xecU\xc0\xa3,2\xf0\x92\xf8D@'",116,41.9419842,-87.6937283
56,Columbus Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xf0\xebv\xac\x08\xf1U\xc07\xdc\xec\xb4\xda\xefD@',125,41.8738619,-87.7661544
57,Columbus Park Refectory,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\t\xf1\x92IW\xf1U\xc0\x8a6l\x00\xdb\xefD@',638,41.8738709,-87.7709526
58,Commercial Club Playground,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xe7\xdd\xfd\x96%\xebU\xc0MNH\xc6\xc5\xf2D@',126,41.8966606,-87.6741693
59,Cooper Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x004\xddF^1\xeaU\xc0\x19\xec\xe1&\xfe\xedD@',128,41.8593186,-87.6592632
60,Cornell Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00A\xcco\xe2u\xe5U\xc0i\xeb;\x1a\xe2\xe5D@',129,41.7959626,-87.5853201
61,Cornell Square Park,"b'\x00\x00\x00\x00\x01\x01\x00\x00\x00@\xd4""G\xdf\xeaU\xc0\xe6b\xc2\x1e\xc9\xe6D@'",130,41.8030127,-87.6698778
62,Cosme Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xc1$\x98\x15\xbe\xeaU\xc0|\xb1\x9c)\x19\xddD@',131,41.7273304,-87.6678518281724
63,Cragin Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xa1E[:\x8b\xf0U\xc0b\x02ma\xcc\xf6D@',134,41.9281122,-87.7584978
64,Crescent Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00*\x03\x07\xb4t\xebU\xc0\x8f\x1a\x13b.\xd9D@',136,41.696728,-87.678998
65,Davis Square Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x9e%\xc8\x08\xa8\xeaU\xc0\xc6\x13\xe6\xe2\x14\xe8D@',140,41.8131374,-87.666506
66,Dawes Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x13\xf6H\xde\x14\xebU\xc0m>\t\xc7\x87\xdfD@',141,41.7463311,-87.6731487
67,de Burgos (Julia) Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xdeG$\xc0\x1f\xedU\xc0\xb3\xaao\xaa\xff\xf4D@',434,41.9140523,-87.7050629
68,Dearborn Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00jDz\x9bH\xe8U\xc0(\xd7o\x81_\xefD@',143,41.8701021,-87.6294316
69,Don Nash Community Center,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xb6\xeb\xef\xb6\x1c\xe5U\xc0\xfd]\xe9\xc6\x05\xe2D@',364,41.7658013,-87.5798776
70,Donovan Playground Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xf3\x87\xb0+w\xe9U\xc0\x8f\xe8\xf9.\x00\xeaD@',152,41.8281306,-87.6478986
71,Dooley Playground Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xaeC\xdakf\xedU\xc0a\xb2\xa7\xd3p\xe0D@',153,41.7534432,-87.7093763
72,Douglass Park Cultural and Community Center,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00;\x95g\xb9\xc7\xecU\xc0\xbc\xe6\xfa\xe3b\xeeD@',155,41.8623929,-87.6996902
73,Dunbar Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xff\x9br\xe0\xb0\xe7U\xc0\x9e:\xfbo\xca\xebD@',158,41.8421154,-87.6201707
74,Dunham Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xb4\xed\x0f\xef\x14\xf2U\xc0\xb9\x7fv\xd1\xa1\xfbD@',159,41.9658758,-87.7825277
75,Durkin Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x95\x92/\xb2\xae\xeeU\xc0`\xf2\xf5k\xa1\xdeD@',160,41.7393012,-87.7294126
