name,id,city_id
Portage Park,237,15
Pottawattomie Park,238,454
Printers Row Park,239,666
Prinz Beach Park,240,645
Pulaski Park,241,448
Pullman Playlot Park,242,447
Railroad Junction Playlot Park,243,445
Rainbow Beach & Park,244,442
Rainey Park,245,443
Ravenswood Manor Playlot Park,246,444
Revere Park,247,3
Ridge Park,248,469
Riis Park,249,471
River Esplanade Park,250,472
River Park,251,8
Roberts Square Playlot Park,252,478
Robichaux Park,253,538
Rogers Park,254,541
Ronan Park,255,542
Rosedale Park,256,544
Rosenblum Park,257,545
Rowan Park,258,546
Russell Square Park,259,547
Rutherford Sayre Park,260,548
Sauganash Park,261,12
Schafer Park,262,409
Schreiber Playground Park,263,549
Scottsdale Playground Park,264,550
Seneca Playlot Park,265,551
Senka Park,266,553
Senn Playlot Park,267,554
Seward Park,268,555
Shabbona Gymnastics Center,269,608
Shabbona Park,270,556
Shedd Park,271,557
Sheil Park,272,558
Sheridan Park,273,559
Sherman Park,274,561
Sherwood Park,275,562
Simons Park,276,563
Skinner Park,277,565
Smith (Joseph Higgins) Park,278,566
Smith (Wendell) Playlot Park,279,567
Snowberry Playlot Park,280,569
Soldier Field,281,652
South Shore Beach,282,617
South Shore Cultural Center,283,571
South Shore Cultural Center SEV,284,640
Special Olympics Department,285,697
Special Recreation Department,286,692
Spruce Playlot Park,287,573
Stanton Park,288,574
Steelworkers Park,289,421
Strohacker Park,290,474
Sumner Park,291,593
Tarkington Park,292,590
Taylor Park,293,486
Taylor-Lauridsen Playground Park,294,488
The Park at NTA,295,587
The Prairie Park,296,667
Throop Park,297,491
Tilton Park,298,494
Touhy Park,299,496
Trebes Park,300,498
Trumbull Park,301,499
Tuley Park,302,500
Union Park,303,501
Unity Playlot Park,304,502
Valley Forge Park,305,503
Veteran's Memorial Park,306,504
Vittum Park,307,506
Walsh Playground Park,308,511
Ward (A. Montgomery) Park,309,599
Warren Park,310,514
Washington Park,311,516
Washington Park Refectory,312,637
Washington Square Park,313,519
Washtenaw Park,314,582
Welles Park,315,521
Wentworth Gardens Park,316,586
Wentworth Park,317,523
West Chatham Park,318,525
West Lawn Park,319,11
West Pullman Park,320,526
White (Edward H.) Park,321,527
White (Willye B.) Park,322,528
Wicker Park,323,583
Wildwood Park,324,530
Williams Park,325,584
Wilson (Frank J.) Park,326,531
Wilson (John P.) Park,327,580
Wilson Community Center Park,328,581
Winnemac Park,329,578
Wolfe Playground Park,330,533
Woodhull Playground Park,331,535
Wrightwood Park,332,536
﻿63rd Street Beach,1,596
